Week,Details,Day,Value
03-Aug-2025,Sales Exclusive GST,Mon,2605.96
03-Aug-2025,No of Deliveries,Mon,38.0
03-Aug-2025,No of PickUps,Mon,57.0
03-Aug-2025,Single Deliveries %,Mon,68.0
03-Aug-2025,Food%Actual,Mon,27.4
03-Aug-2025,Food%Theo,Mon,29.59
03-Aug-2025,LABOUR%,Mon,35.44
03-Aug-2025,Uber Eats Sales,Mon,641.0
03-Aug-2025,Uber Eats Order Count,Mon,15.0
03-Aug-2025,Uber Eats Commission,Mon,98.71
10-Aug-2025,Sales Exclusive GST,Mon,1880.63
10-Aug-2025,No of Deliveries,Mon,34.0
10-Aug-2025,No of PickUps,Mon,44.0
10-Aug-2025,Single Deliveries %,Mon,76.0
10-Aug-2025,Food%Actual,Mon,26.16
10-Aug-2025,Food%Theo,Mon,27.9
10-Aug-2025,LABOUR%,Mon,40.65
10-Aug-2025,Uber Eats Sales,Mon,544.69
10-Aug-2025,Uber Eats Order Count,Mon,16.0
10-Aug-2025,Uber Eats Commission,Mon,83.88
03-Aug-2025,Sales Exclusive GST,Tue,3336.17
03-Aug-2025,No of Deliveries,Tue,42.0
03-Aug-2025,No of PickUps,Tue,114.0
03-Aug-2025,Single Deliveries %,Tue,81.0
03-Aug-2025,Food%Actual,Tue,32.08
03-Aug-2025,Food%Theo,Tue,32.24
03-Aug-2025,LABOUR%,Tue,32.6
03-Aug-2025,Uber Eats Sales,Tue,958.43
03-Aug-2025,Uber Eats Order Count,Tue,29.0
03-Aug-2025,Uber Eats Commission,Tue,147.6
10-Aug-2025,Sales Exclusive GST,Tue,3694.27
10-Aug-2025,No of Deliveries,Tue,44.0
10-Aug-2025,No of PickUps,Tue,118.0
10-Aug-2025,Single Deliveries %,Tue,36.0
10-Aug-2025,Food%Actual,Tue,33.86
10-Aug-2025,Food%Theo,Tue,34.14
10-Aug-2025,LABOUR%,Tue,28.53
10-Aug-2025,Uber Eats Sales,Tue,872.08
10-Aug-2025,Uber Eats Order Count,Tue,28.0
10-Aug-2025,Uber Eats Commission,Tue,134.3
03-Aug-2025,Sales Exclusive GST,Wed,3267.22
03-Aug-2025,No of Deliveries,Wed,37.0
03-Aug-2025,No of PickUps,Wed,87.0
03-Aug-2025,Single Deliveries %,Wed,76.0
03-Aug-2025,Food%Actual,Wed,30.67
03-Aug-2025,Food%Theo,Wed,31.69
03-Aug-2025,LABOUR%,Wed,32.03
03-Aug-2025,Uber Eats Sales,Wed,770.85
03-Aug-2025,Uber Eats Order Count,Wed,17.0
03-Aug-2025,Uber Eats Commission,Wed,118.71
10-Aug-2025,Sales Exclusive GST,Wed,2520.55
10-Aug-2025,No of Deliveries,Wed,37.0
10-Aug-2025,No of PickUps,Wed,71.0
10-Aug-2025,Single Deliveries %,Wed,73.0
10-Aug-2025,Food%Actual,Wed,26.92
10-Aug-2025,Food%Theo,Wed,28.03
10-Aug-2025,LABOUR%,Wed,37.53
10-Aug-2025,Uber Eats Sales,Wed,632.47
10-Aug-2025,Uber Eats Order Count,Wed,20.0
10-Aug-2025,Uber Eats Commission,Wed,97.4
03-Aug-2025,Sales Exclusive GST,Thu,2490.37
03-Aug-2025,No of Deliveries,Thu,30.0
03-Aug-2025,No of PickUps,Thu,68.0
03-Aug-2025,Single Deliveries %,Thu,87.0
03-Aug-2025,Food%Actual,Thu,27.83
03-Aug-2025,Food%Theo,Thu,28.83
03-Aug-2025,LABOUR%,Thu,42.66
03-Aug-2025,Uber Eats Sales,Thu,756.57
03-Aug-2025,Uber Eats Order Count,Thu,16.0
03-Aug-2025,Uber Eats Commission,Thu,116.51
10-Aug-2025,Sales Exclusive GST,Thu,3414.55
10-Aug-2025,No of Deliveries,Thu,49.0
10-Aug-2025,No of PickUps,Thu,78.0
10-Aug-2025,Single Deliveries %,Thu,51.0
10-Aug-2025,Food%Actual,Thu,28.65
10-Aug-2025,Food%Theo,Thu,29.19
10-Aug-2025,LABOUR%,Thu,29.58
10-Aug-2025,Uber Eats Sales,Thu,689.28
10-Aug-2025,Uber Eats Order Count,Thu,16.0
10-Aug-2025,Uber Eats Commission,Thu,106.15
03-Aug-2025,Sales Exclusive GST,Fri,4817.13
03-Aug-2025,No of Deliveries,Fri,61.0
03-Aug-2025,No of PickUps,Fri,107.0
03-Aug-2025,Single Deliveries %,Fri,46.0
03-Aug-2025,Food%Actual,Fri,28.96
03-Aug-2025,Food%Theo,Fri,29.11
03-Aug-2025,LABOUR%,Fri,28.53
03-Aug-2025,Uber Eats Sales,Fri,1263.76
03-Aug-2025,Uber Eats Order Count,Fri,32.0
03-Aug-2025,Uber Eats Commission,Fri,194.62
10-Aug-2025,Sales Exclusive GST,Fri,4357.5
10-Aug-2025,No of Deliveries,Fri,60.0
10-Aug-2025,No of PickUps,Fri,112.0
10-Aug-2025,Single Deliveries %,Fri,40.0
10-Aug-2025,Food%Actual,Fri,28.45
10-Aug-2025,Food%Theo,Fri,29.17
10-Aug-2025,LABOUR%,Fri,29.22
10-Aug-2025,Uber Eats Sales,Fri,984.18
10-Aug-2025,Uber Eats Order Count,Fri,28.0
10-Aug-2025,Uber Eats Commission,Fri,151.56
03-Aug-2025,Sales Exclusive GST,Sat,4541.01
03-Aug-2025,No of Deliveries,Sat,66.0
03-Aug-2025,No of PickUps,Sat,108.0
03-Aug-2025,Single Deliveries %,Sat,29.0
03-Aug-2025,Food%Actual,Sat,30.1
03-Aug-2025,Food%Theo,Sat,31.21
03-Aug-2025,LABOUR%,Sat,33.28
03-Aug-2025,Uber Eats Sales,Sat,1061.16
03-Aug-2025,Uber Eats Order Count,Sat,29.0
03-Aug-2025,Uber Eats Commission,Sat,163.42
10-Aug-2025,Sales Exclusive GST,Sat,4011.29
10-Aug-2025,No of Deliveries,Sat,47.0
10-Aug-2025,No of PickUps,Sat,97.0
10-Aug-2025,Single Deliveries %,Sat,62.0
10-Aug-2025,Food%Actual,Sat,30.01
10-Aug-2025,Food%Theo,Sat,30.78
10-Aug-2025,LABOUR%,Sat,34.69
10-Aug-2025,Uber Eats Sales,Sat,950.6
10-Aug-2025,Uber Eats Order Count,Sat,27.0
10-Aug-2025,Uber Eats Commission,Sat,146.39
03-Aug-2025,Sales Exclusive GST,Sun,2886.44
03-Aug-2025,No of Deliveries,Sun,34.0
03-Aug-2025,No of PickUps,Sun,71.0
03-Aug-2025,Single Deliveries %,Sun,59.0
03-Aug-2025,Food%Actual,Sun,34.24
03-Aug-2025,Food%Theo,Sun,27.69
03-Aug-2025,LABOUR%,Sun,37.24
03-Aug-2025,Uber Eats Sales,Sun,650.56
03-Aug-2025,Uber Eats Order Count,Sun,17.0
03-Aug-2025,Uber Eats Commission,Sun,100.19
10-Aug-2025,Sales Exclusive GST,Sun,2425.47
10-Aug-2025,No of Deliveries,Sun,29.0
10-Aug-2025,No of PickUps,Sun,62.0
10-Aug-2025,Single Deliveries %,Sun,52.0
10-Aug-2025,Food%Actual,Sun,32.92
10-Aug-2025,Food%Theo,Sun,27.01
10-Aug-2025,LABOUR%,Sun,43.72
10-Aug-2025,Uber Eats Sales,Sun,684.91
10-Aug-2025,Uber Eats Order Count,Sun,21.0
10-Aug-2025,Uber Eats Commission,Sun,105.48
